id,nume,categorie,descriere,imagine_url,pret
1,Breloc casca de constructie,Accesorii personale,Acest breloc in formă de casca de constructie e ideal pentru profesionistii din domeniu sau ca element de branding personalizat cu logoul firmei. Materialul rezistent suporta utilizarea zilnica fara sa-si piarda forma. Un cadou memorabil pentru colegi sau parteneri de pe santier.,{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Helmet%20Keychain.png},14.99
2,Breloc echipa preferata Formula 1,Accesorii personale,"Acest breloc aduce spiritul Formula 1 direct pe cheile tale, cu logo-ul echipei tale favorite. Design curat, imprimare 3D cu culori vibrante si textura placuta. Accesoriul perfect pentru fanii care nu rateaza niciun Grand Prix.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Breloc%20echipa%20preferata%20Formula1.png},19.99
3,Breloc sigla masina preferata,Accesorii personale,"Un breloc cu sigla marcii auto pe care o conduci sau la care visezi, redata cu acuratete prin imprimare 3D. Structura solida, rezistenta la uzura, potrivita pentru utilizare zilnica. O idee de cadou perfecta pentru orice pasionat de masini.","{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Breloc%20sigla%20masina%20preferata.png, https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Breloc%20sigla%20masina%20preferata%202.png, https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Breloc%20sigla%20masina%20preferata%203.png}",19.99
4,Carte de vizita cu NFC/QR,Accesorii personale,"Aceasta carte de vizita digitala elimina nevoia de exemplare tiparite: transmiti datele de contact printr-o simpla atingere NFC sau printr-un cod QR. Poti actualiza informatiile oricand, fara sa schimbi suportul fizic. O solutie moderna si ecologica pentru networking.","{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Carete%20de%20vizita%20customizabila%20cu%20nfc.png, https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Carete%20de%20vizita%20customizabila%20cu%20QR%20code.png}",24.99
5,Breloc cu NFC,Accesorii personale,"Acest breloc ascunde un cip NFC programabil, gata sa-ti transmita datele, link-urile sau profilele sociale printr-o singura atingere de telefon. Carcasa solida, rezistenta la socuri si uzura zilnica. Un instrument mic, dar util in fiecare zi.",,12.49
6,Breloc pentru cosul de cumparaturi,Accesorii personale,"Acest breloc-moneda iti elibereaza caruciorul de cumparaturi fara sa mai cauti schimb marunt prin buzunare. Dimensiuni exacte de moneda standard, prins mereu la cheile tale. Simplu, practic, mereu la indemana.",,14.99
7,Jucarie anti-stres,Accesorii personale,"Aceasta jucarie anti-stres te ajuta sa te relaxezi si sa te concentrezi mai bine la birou, cu o forma ergonomica gandita pentru miscari repetitive. Componentele mobile si suprafetele texturate ofera o experienta tactila placuta. Discreta si rezistenta, perfecta pentru pauzele de la munca.",,24.99
8,Jucarie anti-stres atom,Accesorii personale,"Aceasta jucarie anti-stres are forma unui atom, cu piese mobile care se rotesc si se manipuleaza pentru relaxare rapida. Design interesant, care atrage privirile pe orice birou. Perfecta pentru pauze scurte de relaxare intre task-uri.",,
9,Tablou circuite formula 1,Decoratiuni,"Acest tablou printat 3D reda cu acuratete circuitul tau preferat din Formula 1, sau chiar un intreg sezon competitional. Design modern si minimalist, care devine rapid piesa centrala de conversatie pentru orice pasionat de motorsport. Alegi circuitul, dimensiunea si culorile potrivite pentru spatiul tau.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Tablou%20circuite%20formula%201.png},
10,Wall Art Porche 911 GT3 RS,Decoratiuni,"Acest tablou 3D surprinde liniile agresive si detaliile aerodinamice ale unui Porsche 911 GT3 RS, redate cu o precizie impresionanta. Materialul rezistent isi pastreaza forma si finisajul in timp. Piesa perfecta pentru orice pasionat de masini care vrea ceva diferit pe perete.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Wall%20Art%20porche%20911%20gt3%20rs.png},
